uni_id,P1_domestic_student,P2_international_student,P3_accessibility_expert,P4_researcher,P5_literature_aligned,trackA_consensus,trackA_sd,trackA_min,trackA_max,trackA_grade
1001,66.75725955704449,62.05909028741592,71.5261007072399,67.20073254079666,66.63673464582169,66.83598354766373,3.3539099425121575,62.05909028741592,71.5261007072399,Good
1002,57.15344048283747,54.05838398340911,64.39185500917284,57.39345920528677,59.50590731434953,58.50060919901115,3.823983885328956,54.05838398340911,64.39185500917284,Fair
1003,76.16495706043445,69.7272978649863,78.01591323017203,74.72828482751783,75.00032337613996,74.72735527185012,3.0804382346409063,69.7272978649863,78.01591323017203,Very Good
1004,75.9622593124352,68.86072266092366,74.85767737497008,73.46049029932131,74.08373629257399,73.44497718804485,2.727456440146444,68.86072266092366,75.9622593124352,Very Good
1005,68.93122091941189,63.680125495200876,73.1854922761958,69.04872540841862,68.84490712823377,68.73809424549219,3.3729658961331688,63.680125495200876,73.1854922761958,Good
1006,80.73197603892478,73.47509279731995,78.47154150514476,78.12290162514907,78.01215589949749,77.76273357320721,2.640767192036291,73.47509279731995,80.73197603892478,Excellent
1007,76.07608013613039,71.96132514423972,77.6599892651086,71.73720766288871,74.96126698306347,74.47917383828619,2.586409231781708,71.73720766288871,77.6599892651086,Very Good
1008,82.07733109994417,74.42488633644412,81.9600502512563,79.06029811676466,79.17847571189279,79.34020830326043,3.1072620672259945,74.42488633644412,82.07733109994417,Excellent
1009,76.54454765892956,70.39830390045464,79.10503481694185,75.16786891336059,76.39026166387494,75.52120339071232,3.2021589555034478,70.39830390045464,79.10503481694185,Excellent
1010,72.98098693467338,64.72081046502353,74.04394952540481,71.89082108608721,71.68737269235065,71.06478814070792,3.669578145865062,64.72081046502353,74.04394952540481,Very Good
1011,73.13951298556273,66.74810554359097,72.06536774547341,71.44887531378376,71.1615728687884,70.91268689143985,2.4484999316698643,66.74810554359097,73.13951298556273,Very Good
1012,73.07908906968706,68.13301789370132,74.77628826008349,73.05757884855161,72.43332191327005,72.2958591970587,2.4846698932067572,68.13301789370132,74.77628826008349,Very Good
